q,K,seed,world,I,P,C,W
13,2,29,margin,0.3042230556188301,0.11735931559035032,-0.00020503005002798594,-0.06025923107699736
13,2,29,rowshuf,-0.0002961026340797997,0.07562940215169067,-0.0002388711059882198,-0.12115513456376696
13,2,29,colshuf,0.2942929159685457,-0.03708238127847448,-0.00041537520170585135,-0.1077553337152673
13,3,29,real,0.3093581352074424,0.12251850292083329,0.0031515831578842095,-0.06748476463135998
13,3,29,permC,0.3092701301096918,0.12253842946835793,-0.0005027596765844096,-0.066914103742427
13,3,29,margin,0.30446688137771666,0.11480047107089146,1.3931382109015155e-05,-0.10336320230587855
13,3,29,rowshuf,-0.00029433571115496565,0.07932179374772107,-0.0003095486667665607,-0.18296883599084252
13,3,29,colshuf,0.29370158177385686,-0.035796143071960815,-0.00044384902656538494,-0.16678847447136053
13,5,29,real,0.30606590215005014,0.11678243906558773,0.0036362634741175883,-0.1045712522950801
13,5,29,permC,0.30626265435224753,0.11667827458413291,-0.000630132664610659,-0.10345014675930059
13,5,29,margin,0.30315464969509387,0.11483620732510691,0.00014288741606382124,-0.18200763334139566
13,5,29,rowshuf,-0.0002628185114995814,0.08379105099126144,-0.0008610303462616337,-0.28789551165077754
13,5,29,colshuf,0.2959769109102391,-0.032056597925916905,-0.000460783521352028,-0.24277345391059915
13,8,29,real,0.3031929508827491,0.11489584017827303,0.004904270165621958,-0.16721592869691088
13,8,29,permC,0.30390080473790615,0.1149129122519885,-0.0006220225707285476,-0.16498096948545393
13,8,29,margin,0.3026731457151608,0.11554702279267313,0.0003255157803841261,-0.2252484773945766
13,8,29,rowshuf,-0.000140249824254914,0.08883184824725986,-0.0006837982182791393,-0.4613254587873523
13,8,29,colshuf,0.30583886726075893,-0.028526204218337115,-0.0008639922924586392,-0.3245251262589788
17,1,11,real,0.19025849308354925,-0.03172408292313371,0.007243614301264688,-0.09094661312339238
17,1,11,permC,0.18969094220824176,-0.032682472437484594,-0.0023098720606194905,-0.09313709347634655
17,1,11,margin,0.18457411383767763,-0.04165864656915544,8.7059075309463e-06,-0.0992184767288518
17,1,11,rowshuf,-0.0010309955859503228,-0.07231246389939076,-0.00019171243346990013,-0.13782734478249015
17,1,11,colshuf,0.18522378900752223,-0.09749398860361005,0.00046926543238386587,-0.13526346398998695
17,2,11,real,0.18950965171805337,-0.018578552295064398,0.003196834674811216,-0.10930844154051772
17,2,11,permC,0.19020650969594502,-0.01944743183726412,-0.001220270993380836,-0.10594678257304413
17,2,11,margin,0.17867757970744058,-0.036101512002317426,0.0002999603715242438,-0.19158469923319615
17,2,11,rowshuf,-0.0009016115582947311,-0.06219609912448133,2.007994088432108e-05,-0.23284833006340513
17,2,11,colshuf,0.1783625708270274,-0.08887289426740079,0.0007988902731670688,-0.19799928833673733
17,3,11,real,0.18193341649933775,-0.013826863793278733,0.004247356464098248,-0.20133570060521291
